lambda_e,eta_r,sample_type,eta50,beta50,pf50,qservice_max_beta3
0.055660231660231665,0.21911196911196912,prior,0.2643188222067344,0.8850557136038677,0.18806329168453406,500.94676502442934
0.04037065637065638,0.3531660231660232,prior,0.4324555587772866,1.2440898984858781,0.10673323919903571,553.3339487164674
0.046868725868725876,0.3627413127413127,prior,0.4191165002047754,1.2168744418230124,0.11182599560311995,549.1778331288202
0.033490347490347495,0.08505791505791506,prior,0.24714685172259399,0.8462942814139129,0.19869429861236226,495.5964103639567
0.05604247104247105,0.2741698841698842,prior,0.3151799762369739,0.9974788884463371,0.15926605810325728,516.7938230399342
0.022023166023166025,0.24783783783783783,prior,0.4812967452937137,1.342024442250602,0.0897940353244045,568.5516355941921
0.03463706563706564,0.21911196911196912,prior,0.3484471057123733,1.0691625771457078,0.1424982091312254,527.1590249481043
0.01590733590733591,0.3124710424710425,prior,0.6002615768144075,1.5700080764933788,0.05820661616638295,605.6180888208005
0.05871814671814672,0.5303088803088803,prior,0.5525871483388802,1.4803664841059239,0.06938773467607534,590.763934440848
0.01628957528957529,0.33880308880308885,prior,0.6094839301662882,1.5870947016897963,0.056245598854664014,608.4915424691359
0.007498069498069498,0.09942084942084942,prior,0.684071211086091,1.7223915242354269,0.04249930901595639,631.7310656473186
0.010173745173745176,0.24305019305019304,prior,0.668128077760165,1.6938947181141648,0.04514264541271168,626.7635857782093
0.03310810810810811,0.19038610038610038,prior,0.33548344683196285,1.0413976381364032,0.14884551912842214,523.1198744748582
0.060247104247104256,0.15208494208494208,prior,0.1913229919452873,0.717330390138008,0.23658512990876668,478.20309789577277
0.09426640926640928,0.20714285714285716,prior,0.21380994587160254,0.7698350208855766,0.22069888139058874,485.2094678898636
