sample_type,time_year,eta_mean,eta_ci95_low,eta_median,eta_ci95_high,beta_mean,beta_ci95_low,beta_median,beta_ci95_high,pf_mean,pf_ci95_low,pf_median,pf_ci95_high,qservice_max_beta3_mean,qservice_max_beta3_ci95_low,qservice_max_beta3_median,qservice_max_beta3_ci95_high
posterior,1.0,0.9343798457323647,0.9251145390188461,0.9347051406715055,0.9417536854571893,2.1425913063031468,2.127884713722546,2.143113089782217,2.154264260869088,0.01607493275939281,0.015609710162089079,0.016051994358667304,0.016673244161005102,709.7209487054758,706.8341118685988,709.822302437435,712.0184519403977
posterior,2.0,0.919170478439376,0.9012117258924357,0.9197693582748852,0.933631122560564,2.1183898555990064,2.0896488226086984,2.119369438935077,2.1414109078026358,0.017078917954762945,0.016120430604919304,0.017029551023212932,0.01832436426289277,704.9820919007756,699.3865957126974,705.1686878142696,709.4876653723053
posterior,3.0,0.9043598553895361,0.8782857393176059,0.9051897951222507,0.9256065110110397,2.094655454569434,2.0525910182181795,2.0960404598185445,2.128667453534513,0.01811856314566602,0.016640593493062635,0.01803898767339909,0.020055919910075912,700.3674737861916,692.2434341733818,700.6260621596658,706.9873979835317
posterior,4.0,0.8899363297858436,0.8562440369594778,0.8909591034553519,0.9176997520786266,2.0713810828146344,2.016600246077558,2.0731233834731855,2.116066998647684,0.019193109128570994,0.017169385012440416,0.019080102492053906,0.021868300596620642,695.8734655123341,685.3757933836728,696.1921360967215,704.5238505099122
posterior,5.0,0.8758886360732098,0.8350413839604464,0.877067572002578,0.9098927367070965,2.04855969396843,1.9816375773635393,2.0506112752133663,2.103582193172105,0.020301696965240743,0.017707057112077776,0.020152350517809427,0.023759603960771588,691.4965570152167,678.7695792981941,691.8638838371397,702.0913806244075
posterior,6.0,0.8622058758639195,0.8147093851401674,0.8635057991771584,0.9022034977431086,2.026184225204562,1.9477895086569446,2.0284972889399118,2.0912433800948524,0.021443376759688007,0.018252973464076245,0.021254472403029655,0.025719928383576476,687.2333526309839,672.4346391848698,687.6383760826412,699.6956069090697
posterior,7.0,0.848877504451684,0.7951699880933323,0.8502541578803618,0.8945999022841613,2.0042476062364174,1.914959110877673,2.0067573500895577,2.0790003825194714,0.022617116592992422,0.01880815529375327,0.02238751387184268,0.027748261733133585,683.080566894028,666.3466538748021,683.5094975222738,697.3265175586249
posterior,8.0,0.8358933178864191,0.7763355442532046,0.8373394427007284,0.8871262704523021,1.9827427678104654,1.8830280295971367,1.985443425242217,2.0669260456876275,0.02382181147916798,0.019370204609242884,0.023547542899162065,0.02984739220310467,679.0350205098158,660.4783142762391,679.4855966767741,694.9979216098271
posterior,9.0,0.8232434405833581,0.7581841453371554,0.8247316135273639,0.879724461752643,1.9616626496976068,1.8519853487302613,1.9645138645509785,2.0549278057423215,0.025056292227146355,0.019942562879821497,0.02473459341009345,0.032013216860107926,675.0936364941988,654.8227943186268,675.5573138021643,692.6917039448991
posterior,10.0,0.8109183134415108,0.7407469162769428,0.8123837824467771,0.8724661160016586,1.9410002081899567,1.821910515609732,1.9438976131174617,2.043123261810324,0.026319334114143906,0.020519850267754058,0.025952914917474132,0.034234120731458546,671.253436471423,649.389791748875,671.7100398023772,690.430185731135
posterior,11.0,0.7989086824477898,0.7239978985845859,0.8004025872688405,0.8652665887426074,1.9207484231133392,1.7927848131172344,1.923780320205421,2.0313761174479734,0.027609665293904125,0.021108158843110476,0.027190837731856467,0.036503310326715,667.5115371234621,644.1712185541794,667.9770003403357,688.186993881997
posterior,12.0,0.7872055877443661,0.7078134065826102,0.788654229456775,0.8581691757838215,1.9009003043679527,1.7644157610415512,1.9039445086011197,2.019758048479444,0.028925974879456855,0.021703569928643595,0.028458364547314922,0.03882982001637611,663.8651467836785,639.1285373842969,664.3165071528626,685.9756182838144
posterior,13.0,0.7758003531379764,0.6922074860717322,0.7772216203783785,0.8512232584859057,1.8814488980114603,1.736848088304654,1.8845365922518178,2.008351650049407,0.030266920654151784,0.02230241541454709,0.029745354249934172,0.04120659822782798,660.3115621681891,634.2661245579146,660.7543933395146,683.8114449281425
posterior,14.0,0.7646845760310106,0.6771114420425123,0.7660534653609329,0.8443184301394232,1.8623872919000692,1.7099792695507399,1.8654763207864469,1.996976890410785,0.03163113637692495,0.022913029614400594,0.031057067896290973,0.04363398304572401,656.8481652386428,629.5625764356398,657.2746767687427,681.6600738576246
posterior,15.0,0.7538501177552348,0.6625901997841911,0.755152758419321,0.8375464489694918,1.843708620904168,1.683943419792263,1.8467749301551186,1.9857860543519263,0.03301723865820375,0.02352796743166146,0.032389472909178964,0.04609340247291037,653.4724201904531,625.0381221067428,653.8782903003776,679.5500946303345
posterior,16.0,0.7432890942899874,0.6486472482734713,0.744556116312659,0.8308433342725626,1.8254060717157563,1.6587664478624757,1.828501850686428,1.9746747500694044,0.03442383339172335,0.0241516254059172,0.03373679153604808,0.048579693478992214,650.1818705608208,620.6938486487245,650.5766427967842,677.4615724661763
posterior,17.0,0.7329938673476035,0.6350677051704905,0.7341349075717483,0.8243033521150431,1.8074728872653327,1.6340757261508505,1.8104406220881653,1.9638007960180635,0.03584952173499229,0.024775808688183302,0.035113120694895764,0.05111880527665759,646.974136451175,616.4628041221091,647.3296559232517,675.4238783035751
posterior,18.0,0.7229570358096936,0.6219179347967965,0.7240077159545105,0.8177844926019577,1.7899023707660886,1.6100043930748673,1.7928019540537878,1.9529292661866149,0.03729290563737255,0.02541339364023917,0.03650115031430773,0.053696043019645666,643.8469118589344,612.3656659824868,644.1742774000456,673.3927654264003
posterior,19.0,0.7131714274987205,0.60930268261111,0.7141173263410019,0.8113872838427386,1.7726878894032796,1.5867596750068111,1.7754921353951203,1.9422286878921877,0.038752592919884955,0.026054444349456925,0.03790755489926263,0.056282640309721944,640.7979621137359,608.4350702836961,641.0926804329765,671.3995558683874
posterior,20.0,0.7036300912700956,0.5971281638498893,0.7044684747846179,0.8050760654771778,1.7558228776865157,1.564184219251952,1.7585246796648268,1.9316407702263299,0.04022720191505356,0.02670166336683142,0.039328899793036706,0.05888509001086925,637.8251214135316,604.6417960491947,638.0863406573179,669.4331387570473
posterior,21.0,0.6943262894107438,0.5853008995005299,0.6950675388767544,0.7988192862806941,1.7393008404824375,1.5421166458042557,1.7419161192559136,1.9211134368302283,0.041715365678485605,0.027358616090572278,0.040759605821202465,0.06152188678755573,634.9262904561717,600.9567175667524,635.15724517035,667.4836835233355
